GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
51,2000,Virginia,USA,7078515.0,9.59,664083.0,31.91,650.0,46677.0,125400.0,24.5,70.15,19.44,4.66,0.26,3.66,0.05,1.61,0.17,77522.0,40945.0,6.17,11.67,0,0,0
51,2001,Virginia,USA,7078515.0,9.59,734527.0,31.91,650.0,46677.0,125400.0,24.5,70.15,19.44,4.66,0.26,3.66,0.05,1.61,0.17,83498.0,44970.0,6.12,11.37,0,0,0
51,2002,Virginia,USA,7078515.0,9.59,761196.0,31.91,650.0,46677.0,125400.0,24.5,70.15,19.44,4.66,0.26,3.66,0.05,1.61,0.17,123429.0,49799.0,6.54,16.22,0,0,0
51,2003,Virginia,USA,7078515.0,9.59,885087.0,31.91,650.0,46677.0,125400.0,24.5,70.15,19.44,4.66,0.26,3.66,0.05,1.61,0.17,127023.0,52790.0,5.96,14.35,0,0,0
51,2004,Virginia,USA,7078515.0,9.59,900780.0,31.91,650.0,46677.0,125400.0,24.5,70.15,19.44,4.66,0.26,3.66,0.05,1.61,0.17,153631.0,55869.0,6.2,17.06,0,0,0
51,2005,Virginia,USA,7721730.0,7.16,914428.0,30.84,931.0,60316.0,247100.0,28.7,66.98,19.31,6.67,0.23,4.78,0.07,1.7,0.25,156448.0,51745.0,5.66,17.11,0,0,0
51,2006,Virginia,USA,7721730.0,7.16,928075.0,30.84,931.0,60316.0,247100.0,28.7,66.98,19.31,6.67,0.23,4.78,0.07,1.7,0.25,158878.0,50920.0,5.49,17.12,0,0,0
51,2007,Virginia,USA,7721730.0,7.16,613794.0,30.84,931.0,60316.0,247100.0,28.7,66.98,19.31,6.67,0.23,4.78,0.07,1.7,0.25,66538.0,37676.0,6.14,10.84,0,0,0
51,2008,Virginia,USA,7721730.0,7.16,623822.0,30.84,931.0,60316.0,247100.0,28.7,66.98,19.31,6.67,0.23,4.78,0.07,1.7,0.25,65233.0,42797.0,6.86,10.46,0,0,0
51,2009,Virginia,USA,7721730.0,7.16,629765.0,30.84,931.0,60316.0,247100.0,28.7,66.98,19.31,6.67,0.23,4.78,0.07,1.7,0.25,62974.0,38357.0,6.09,10.0,0,0,0
51,2010,Virginia,USA,8001024.0,7.79,685038.0,32.75,1060.0,63636.0,249700.0,29.9,64.82,19.04,7.9,0.26,5.45,0.06,2.27,0.19,94057.0,45125.0,6.59,13.73,0,0,0
51,2011,Virginia,USA,8256630.0,8.22,866175.0,33.82,1116.0,65015.0,245000.0,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,144511.0,50013.0,5.77,16.68,0,0,0
51,2012,Virginia,USA,8256630.0,8.22,881194.0,33.82,1116.0,65015.0,245000.0,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,138282.0,48198.0,5.47,15.69,0,0,0
51,2013,Virginia,USA,8256630.0,8.22,906176.0,33.82,1116.0,65015.0,245000.0,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,151841.0,51134.0,5.64,16.76,0,0,0
51,2014,Virginia,USA,8256630.0,8.22,917828.0,33.82,1116.0,65015.0,245000.0,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,147094.0,51101.0,5.57,16.03,0,0,0
51,2015,Virginia,USA,8256630.0,8.22,996441.0,33.82,1116.0,65015.0,245000.0,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,144220.0,50213.0,5.04,14.47,0,0,0
51,2016,Virginia,USA,8256630.0,8.22,1012175.0,33.82,1116.0,65015.0,245000.0,29.9,63.44,18.9,8.59,0.21,5.93,0.06,2.66,0.22,146534.0,51821.0,5.12,14.48,0,0,0
